Feature,Importance
Ill300x.ref_reason_alignmentScore,0.060480956
Ill300x.ref_count,0.057053594
Ill250.alt_count,0.051647356
Ill250.alt_reason_alignmentScore,0.050408785
pacbio.ref_count,0.044067853
pacbio.alt_alnScore_std,0.040173694
pacbio.alt_reason_alignmentScore,0.039024936
Ill250.ref_reason_alignmentScore,0.038972926
pacbio.alt_count,0.037678655
Ill250.ref_count,0.037049212
Ill250.alt_alnScore_std,0.035396839
pacbio.ref_reason_alignmentScore,0.033323998
pacbio.alt_insertSize_std,0.03299789
Ill250.alt_insertSize_std,0.032386601
pacbio.ref_alnScore_std,0.031647301
pacbio.ref_insertSize_std,0.03146228
pacbio.alt_insertSize_mean,0.027596326
Ill300x.alt_count,0.021711211
Ill300x.alt_reason_alignmentScore,0.021310876
pacbio.alt_alnScore_mean,0.019627556
pacbio.ref_insertSize_mean,0.016565791
Ill300x.alt_insertSize_std,0.01639868
IllMP.ref_count,0.015354985
Ill250.alt_alnScore_mean,0.014178662
IllMP.ref_reason_alignmentScore,0.013160312
pacbio.ref_alnScore_mean,0.012239712
Ill250.ref_insertSize_std,0.010819456
Ill250.alt_insertSize_mean,0.010758284
Ill250.ref_alnScore_std,0.008605569
IllMP.alt_insertSize_mean,0.007426801
IllMP.alt_reason_alignmentScore,0.006863784
IllMP.alt_insertSize_std,0.006217424
IllMP.ref_alnScore_mean,0.005285249
TenX.HP2_ref_reason_alignmentScore,0.005082999
Ill250.ref_insertSize_mean,0.004455239
IllMP.alt_alnScore_mean,0.004189925
IllMP.ref_insertSize_std,0.00414706
TenX.HP1_alt_count,0.003951119
IllMP.alt_alnScore_std,0.003795154
Ill300x.alt_alnScore_std,0.003628963
IllMP.ref_alnScore_std,0.003558815
TenX.HP2_alt_insertSize_std,0.00328263
TenX.HP1_alt_reason_alignmentScore,0.003259349
IllMP.alt_count,0.00320068
TenX.HP2_alt_count,0.003177906
TenX.HP1_ref_reason_alignmentScore,0.002580335
TenX.HP2_ref_count,0.002395535
Ill300x.alt_insertSize_mean,0.00230685
TenX.HP2_alt_alnScore_std,0.002143234
TenX.HP1_ref_insertSize_std,0.002117623
IllMP.ref_insertSize_mean,0.001991297
TenX.HP2_alt_alnScore_mean,0.001858555
TenX.HP1_ref_count,0.001714546
Ill300x.ref_alnScore_std,0.001709154
Ill250.ref_alnScore_mean,0.001577043
TenX.HP1_ref_alnScore_std,0.001358636
TenX.HP2_ref_alnScore_std,0.001317285
TenX.HP2_ref_insertSize_std,0.001314241
TenX.HP1_alt_insertSize_std,0.001305783
TenX.HP1_alt_insertSize_mean,0.001289044
pacbio.amb_count,0.001084481
IllMP.amb_count,0.001071112
IllMP.amb_reason_flanking,0.000976039
TenX.HP2_amb_count,0.000953673
chrom,0.000930954
end,0.000920025
TenX.HP1_amb_reason_flanking,0.000912167
Ill300x.alt_alnScore_mean,0.00089
Ill300x.amb_reason_flanking,0.00087825
Ill300x.ref_insertSize_mean,0.000861416
Ill300x.ref_insertSize_std,0.000814552
TenX.HP2_amb_reason_flanking,0.000807519
TenX.HP1_amb_insertSize_mean,0.000790098
IllMP.amb_reason_alignmentScore_alignmentScore,0.000743064
Ill250.amb_alnScore_mean,0.000728622
TenX.HP2_alt_reason_alignmentScore,0.000718611
pacbio.amb_alnScore_std,0.000712922
Ill300x.amb_reason_same_scores,0.000692797
pacbio.amb_insertSize_std,0.000688495
IllMP.amb_reason_multimapping,0.000681007
TenX.HP1_amb_reason_alignmentScore_alignmentScore,0.000659455
TenX.HP2_alt_insertSize_mean,0.000636126
TenX.HP2_amb_insertSize_std,0.000625652
start,0.000621118
Ill300x.amb_count,0.000620477
TenX.HP1_alt_alnScore_std,0.000618878
IllMP.amb_alnScore_mean,0.000586587
pacbio.amb_reason_flanking,0.00053454
TenX.HP1_ref_alnScore_mean,0.000529646
Ill300x.ref_alnScore_mean,0.000491465
TenX.HP2_amb_alnScore_std,0.000490651
TenX.HP1_amb_count,0.000483698
IllMP.amb_alnScore_std,0.000483163
TenX.HP1_ref_insertSize_mean,0.000468627
IllMP.amb_reason_orientation_orientation,0.000455835
Ill250.amb_alnScore_std,0.000455111
Size,0.000437067
TenX.HP1_amb_reason_multimapping,0.000431524
Ill300x.amb_reason_alignmentScore_alignmentScore,0.000421336
Ill250.amb_reason_multimapping,0.000419788
TenX.HP1_alt_alnScore_mean,0.000413145
pacbio.amb_reason_alignmentScore_alignmentScore,0.000412168
Ill300x.amb_insertSize_mean,0.000410024
Ill250.amb_reason_flanking,0.000407139
TenX.HP2_amb_alnScore_mean,0.000395331
TenX.HP2_amb_reason_orientation_orientation,0.000394666
Ill300x.alt_reason_insertSizeScore,0.000387948
Ill300x.amb_reason_orientation_orientation,0.000370426
Ill250.amb_insertSize_mean,0.00035969
TenX.HP1_amb_alnScore_mean,0.000352361
TenX.HP1_amb_alnScore_std,0.000344082
pacbio.amb_reason_same_scores,0.000341216
Ill300x.amb_alnScore_mean,0.000325951
TenX.HP2_amb_reason_same_scores,0.000318516
TenX.HP2_amb_reason_multimapping,0.000314556
IllMP.amb_insertSize_std,0.000309634
Ill300x.amb_reason_multimapping,0.000305185
Ill250.amb_insertSize_std,0.000300205
TenX.HP2_amb_insertSize_mean,0.000298422
TenX.HP2_amb_reason_alignmentScore_alignmentScore,0.000274516
Ill300x.amb_insertSize_std,0.000274166
TenX.HP1_amb_reason_orientation_orientation,0.000264522
IllMP.amb_reason_same_scores,0.000260185
pacbio.amb_alnScore_mean,0.000257638
TenX.HP2_ref_insertSize_mean,0.000253783
Ill300x.amb_alnScore_std,0.000249395
TenX.HP1_amb_insertSize_std,0.000234263
IllMP.amb_insertSize_mean,0.000233995
Ill250.amb_reason_alignmentScore_alignmentScore,0.000231335
Ill250.amb_count,0.000213844
TenX.HP2_ref_alnScore_mean,0.000213003
tandemrep_cnt,0.000208158
tandemrep_pct,0.000194992
TenX.HP1_amb_reason_same_scores,0.000192907
pacbio.amb_insertSize_mean,0.000174719
Ill300x.amb_reason_orientation_alignmentScore,0.000162603
IllMP.amb_reason_orientation_alignmentScore,0.00016054
TenX.HP1_alt_reason_insertSizeScore,0.000157805
Ill250.amb_reason_orientation_orientation,0.000153221
segdup_cnt,0.000142487
segdup_pct,0.000135265
pacbio.amb_reason_multimapping,0.000132052
TenX.HP2_amb_reason_orientation_alignmentScore,0.000104539
TenX.HP1_amb_reason_orientation_alignmentScore,9.77E-05
Ill300x.alt_reason_orientation,9.20E-05
IllMP.ref_reason_orientation,5.87E-05
Ill250.amb_reason_same_scores,4.33E-05
TenX.HP2_amb_reason_alignmentScore_orientation,3.35E-05
Ill250.alt_reason_insertSizeScore,2.98E-05
Ill250.ref_reason_orientation,2.37E-05
TenX.HP1_amb_reason_alignmentScore_orientation,2.04E-05
Ill300x.ref_reason_orientation,1.17E-05
IllMP.alt_reason_insertSizeScore,1.15E-05
TenX.HP2_alt_reason_insertSizeScore,7.80E-06
Ill300x.amb_reason_alignmentScore_orientation,0
TenX.HP1_alt_reason_orientation,0
