INS_log_size,DEL_log_size
3.087781418,1.361727836
2.888740961,2.250420002
1.653212514,1.301029996
1.301029996,1.397940009
1.954242509,2.075546961
2.178976947,1.954242509
2.209515015,1.707570176
1.568201724,1.342422681
1.431363764,1.361727836
1.462397998,1.986771734
1.301029996,1.579783597
1.414973348,1.51851394
2.614897216,1.322219295
1.380211242,1.579783597
1.301029996,1.447158031
1.716003344,2.184691431
1.342422681,2.161368002
1.414973348,1.342422681
1.380211242,1.301029996
1.380211242,1.301029996
1.322219295,1.301029996
1.322219295,2.075546961
1.301029996,1.361727836
1.342422681,1.477121255
1.556302501,1.826074803
1.785329835,1.79239169
1.477121255,1.51851394
1.447158031,1.397940009
2.506505032,2.033423755
1.477121255,1.531478917
1.301029996,1.602059991
1.380211242,1.380211242
1.477121255,2
1.342422681,1.462397998
1.477121255,1.380211242
1.301029996,1.491361694
1.322219295,1.361727836
2.487138375,1.880813592
1.579783597,1.857332496
2.409933123,1.477121255
1.892094603,1.477121255
2.146128036,1.431363764
1.477121255,2.133538908
1.380211242,1.322219295
1.380211242,1.991226076
1.51851394,1.531478917
1.447158031,1.397940009
1.447158031,1.949390007
1.491361694,1.954242509
1.342422681,1.73239376
1.380211242,1.342422681
2.625312451,2.127104798
1.380211242,1.799340549
1.322219295,1.462397998
1.414973348,1.414973348
1.86923172,1.857332496
1.806179974,2.23299611
2.46834733,1.531478917
1.505149978,1.361727836
1.505149978,1.322219295
1.531478917,2.190331698
2.096910013,1.397940009
1.301029996,1.342422681
1.380211242,1.361727836
1.939519253,2.130333769
1.806179974,1.544068044
1.380211242,1.591064607
1.342422681,1.568201724
1.397940009,1.447158031
1.505149978,1.322219295
1.342422681,1.342422681
1.322219295,1.447158031
1.322219295,1.579783597
3.543322901,1.51851394
1.602059991,1.462397998
1.301029996,1.653212514
1.380211242,1.69019608
1.556302501,1.462397998
1.361727836,2.36361198
1.322219295,1.361727836
3.623352682,2.235528447
1.447158031,1.301029996
1.322219295,2.646403726
1.342422681,2.639486489
2.096910013,1.322219295
3.936111432,1.361727836
2.093421685,1.414973348
1.301029996,2.267171728
1.568201724,1.301029996
1.591064607,1.397940009
1.477121255,1.447158031
3.350248018,1.531478917
2.181843588,2.338456494
2.045322979,1.431363764
2.482873584,1.342422681
1.361727836,1.361727836
1.591064607,1.322219295
1.568201724,1.591064607
1.380211242,1.633468456
1.643452676,1.602059991
2.326335861,1.875061263
1.414973348,1.643452676
1.414973348,1.51851394
1.531478917,1.447158031
1.397940009,1.361727836
1.380211242,1.491361694
3.15624619,2.367355921
1.380211242,1.851258349
1.342422681,1.568201724
1.342422681,1.361727836
1.643452676,1.414973348
1.531478917,1.361727836
1.531478917,1.477121255
2.079181246,1.462397998
1.892094603,1.939519253
2.45484486,1.785329835
1.414973348,2.222716471
2.041392685,1.477121255
1.301029996,2.540329475
1.322219295,2.350248018
1.414973348,1.431363764
1.707570176,1.342422681
1.748188027,1.397940009
1.301029996,1.770852012
1.397940009,1.602059991
1.414973348,1.380211242
1.380211242,1.602059991
1.857332496,1.662757832
1.380211242,2.811575006
1.301029996,1.361727836
1.991226076,1.361727836
2.117271296,1.361727836
1.380211242,2.049218023
1.477121255,1.51851394
1.491361694,1.397940009
1.556302501,1.462397998
1.462397998,1.491361694
1.447158031,1.447158031
1.633468456,1.447158031
1.477121255,1.568201724
1.505149978,1.568201724
2.409933123,1.505149978
1.51851394,1.662757832
1.301029996,1.342422681
1.342422681,1.380211242
3.271376872,1.602059991
1.414973348,1.380211242
1.579783597,1.982271233
2.836324116,1.301029996
2.876794976,1.477121255
1.602059991,1.361727836
1.491361694,1.748188027
1.361727836,2.380211242
1.380211242,1.51851394
1.505149978,1.361727836
1.86332286,2.869818208
1.462397998,1.556302501
1.643452676,1.361727836
1.301029996,1.740362689
2.767897616,1.431363764
1.431363764,1.462397998
1.556302501,1.322219295
1.380211242,1.361727836
1.342422681,1.414973348
1.51851394,1.361727836
2.925827575,1.716003344
