1,2,Ill250.alt_alnScore_mean,Ill250.alt_alnScore_std,Ill250.alt_count,Ill250.alt_insertSize_mean,Ill250.alt_insertSize_std,Ill250.alt_reason_alignmentScore,Ill250.alt_reason_insertSizeScore,Ill250.alt_reason_orientation,Ill250.amb_alnScore_mean,Ill250.amb_alnScore_std,Ill250.amb_count,Ill250.amb_insertSize_mean,Ill250.amb_insertSize_std,Ill250.amb_reason_alignmentScore_alignmentScore,Ill250.amb_reason_alignmentScore_orientation,Ill250.amb_reason_flanking,Ill250.amb_reason_insertSizeScore_alignmentScore,Ill250.amb_reason_multimapping,Ill250.amb_reason_orientation_alignmentScore,Ill250.amb_reason_orientation_orientation,Ill250.amb_reason_same_scores,Ill250.ref_alnScore_mean,Ill250.ref_alnScore_std,Ill250.ref_count,Ill250.ref_insertSize_mean,Ill250.ref_insertSize_std,Ill250.ref_reason_alignmentScore,Ill250.ref_reason_orientation,Ill300x.alt_alnScore_mean,Ill300x.alt_alnScore_std,Ill300x.alt_count,Ill300x.alt_insertSize_mean,Ill300x.alt_insertSize_std,Ill300x.alt_reason_alignmentScore,Ill300x.alt_reason_insertSizeScore,Ill300x.alt_reason_orientation,Ill300x.amb_alnScore_mean,Ill300x.amb_alnScore_std,Ill300x.amb_count,Ill300x.amb_insertSize_mean,Ill300x.amb_insertSize_std,Ill300x.amb_reason_alignmentScore_alignmentScore,Ill300x.amb_reason_alignmentScore_orientation,Ill300x.amb_reason_flanking,Ill300x.amb_reason_insertSizeScore_alignmentScore,Ill300x.amb_reason_insertSizeScore_insertSizeScore,Ill300x.amb_reason_multimapping,Ill300x.amb_reason_orientation_alignmentScore,Ill300x.amb_reason_orientation_orientation,Ill300x.amb_reason_same_scores,Ill300x.ref_alnScore_mean,Ill300x.ref_alnScore_std,Ill300x.ref_count,Ill300x.ref_insertSize_mean,Ill300x.ref_insertSize_std,Ill300x.ref_reason_alignmentScore,Ill300x.ref_reason_insertSizeScore,Ill300x.ref_reason_orientation,IllMP.alt_alnScore_mean,IllMP.alt_alnScore_std,IllMP.alt_count,IllMP.alt_insertSize_mean,IllMP.alt_insertSize_std,IllMP.alt_reason_alignmentScore,IllMP.alt_reason_insertSizeScore,IllMP.alt_reason_orientation,IllMP.amb_alnScore_mean,IllMP.amb_alnScore_std,IllMP.amb_count,IllMP.amb_insertSize_mean,IllMP.amb_insertSize_std,IllMP.amb_reason_alignmentScore_alignmentScore,IllMP.amb_reason_alignmentScore_orientation,IllMP.amb_reason_flanking,IllMP.amb_reason_insertSizeScore_insertSizeScore,IllMP.amb_reason_multimapping,IllMP.amb_reason_orientation_alignmentScore,IllMP.amb_reason_orientation_orientation,IllMP.amb_reason_same_scores,IllMP.ref_alnScore_mean,IllMP.ref_alnScore_std,IllMP.ref_count,IllMP.ref_insertSize_mean,IllMP.ref_insertSize_std,IllMP.ref_reason_alignmentScore,IllMP.ref_reason_insertSizeScore,IllMP.ref_reason_orientation,TenX.HP1_alt_alnScore_mean,TenX.HP1_alt_alnScore_std,TenX.HP1_alt_count,TenX.HP1_alt_insertSize_mean,TenX.HP1_alt_insertSize_std,TenX.HP1_alt_reason_alignmentScore,TenX.HP1_alt_reason_insertSizeScore,TenX.HP1_alt_reason_orientation,TenX.HP1_amb_alnScore_mean,TenX.HP1_amb_alnScore_std,TenX.HP1_amb_count,TenX.HP1_amb_insertSize_mean,TenX.HP1_amb_insertSize_std,TenX.HP1_amb_reason_alignmentScore_alignmentScore,TenX.HP1_amb_reason_alignmentScore_orientation,TenX.HP1_amb_reason_flanking,TenX.HP1_amb_reason_insertSizeScore_alignmentScore,TenX.HP1_amb_reason_multimapping,TenX.HP1_amb_reason_orientation_alignmentScore,TenX.HP1_amb_reason_orientation_orientation,TenX.HP1_amb_reason_same_scores,TenX.HP1_ref_alnScore_mean,TenX.HP1_ref_alnScore_std,TenX.HP1_ref_count,TenX.HP1_ref_insertSize_mean,TenX.HP1_ref_insertSize_std,TenX.HP1_ref_reason_alignmentScore,TenX.HP1_ref_reason_orientation,TenX.HP2_alt_alnScore_mean,TenX.HP2_alt_alnScore_std,TenX.HP2_alt_count,TenX.HP2_alt_insertSize_mean,TenX.HP2_alt_insertSize_std,TenX.HP2_alt_reason_alignmentScore,TenX.HP2_alt_reason_insertSizeScore,TenX.HP2_alt_reason_orientation,TenX.HP2_amb_alnScore_mean,TenX.HP2_amb_alnScore_std,TenX.HP2_amb_count,TenX.HP2_amb_insertSize_mean,TenX.HP2_amb_insertSize_std,TenX.HP2_amb_reason_alignmentScore_alignmentScore,TenX.HP2_amb_reason_alignmentScore_orientation,TenX.HP2_amb_reason_flanking,TenX.HP2_amb_reason_insertSizeScore_alignmentScore,TenX.HP2_amb_reason_multimapping,TenX.HP2_amb_reason_orientation_alignmentScore,TenX.HP2_amb_reason_orientation_orientation,TenX.HP2_amb_reason_same_scores,TenX.HP2_ref_alnScore_mean,TenX.HP2_ref_alnScore_std,TenX.HP2_ref_count,TenX.HP2_ref_insertSize_mean,TenX.HP2_ref_insertSize_std,TenX.HP2_ref_reason_alignmentScore,TenX.HP2_ref_reason_orientation,pacbio.alt_alnScore_mean,pacbio.alt_alnScore_std,pacbio.alt_count,pacbio.alt_insertSize_mean,pacbio.alt_insertSize_std,pacbio.alt_reason_alignmentScore,pacbio.amb_alnScore_mean,pacbio.amb_alnScore_std,pacbio.amb_count,pacbio.amb_insertSize_mean,pacbio.amb_insertSize_std,pacbio.amb_reason_alignmentScore_alignmentScore,pacbio.amb_reason_flanking,pacbio.amb_reason_multimapping,pacbio.amb_reason_same_scores,pacbio.ref_alnScore_mean,pacbio.ref_alnScore_std,pacbio.ref_count,pacbio.ref_insertSize_mean,pacbio.ref_insertSize_std,pacbio.ref_reason_alignmentScore,refN_cnt,refN_pct,segdup_cnt,segdup_pct,tandemrep_cnt,tandemrep_pct
0.7,0.3,969.74,19.2476596,50,422.06,87.06489763,50,0,0,913.6666667,138.1937111,186,390.6612903,117.0427195,41,0,134,0,4,0,6,1,980,8.124038405,4,434,47.24933862,4,0,576.3362445,6.124298078,229,572.580786,146.6771959,229,0,0,536.283903,92.90958009,1814,605.9878721,288.0582598,325,0,1115,0,0,134,0,2,238,582.4347826,8.058622641,23,587.0434783,155.7633317,23,0,0,359.3333333,46.02052682,6,7324.333333,774.1209351,6,0,0,362.0796105,97.5942225,1746,6730.811569,3548.020715,304,0,695,0,300,0,44,403,0,0,0,0,0,0,0,0,537.4615385,11.95256898,13,339.5384615,68.27953335,13,0,0,509.1643836,70.91959825,73,340.7945205,192.2476256,16,0,49,0,3,0,2,3,490,0,1,253,0,1,0,530.25,14.48490594,16,316.6875,112.5787051,16,0,0,512.6176471,78.12998773,102,334.5098039,138.9199053,14,0,73,0,5,0,6,4,538,15.57776193,3,496.6666667,240.882175,3,0,16208.85185,6417.262118,54,10270.98148,3988.611772,54,10576.01724,6402.457078,464,7485.616379,4289.494395,192,267,0,5,0,0,0,0,0,0,0,0,0,0,0,0
0,1,952,11,4,487.25,37.5524633,4,0,0,855.2465753,170.8786144,146,389.2465753,133.2113658,47,0,89,0,4,0,6,0,954,26.33544295,9,395.1111111,67.83713248,9,0,570.325,3.157431709,40,620.175,133.5823505,39,1,0,529.6242394,92.19927422,1972,618.8154158,318.2917695,311,0,1275,0,0,207,0,2,177,573.3596491,9.799863222,114,603.2631579,143.1695138,114,0,0,337,0,1,8111,0,1,0,0,355.9969494,95.1400143,1639,6665.888347,3475.196919,287,0,704,0,311,0,32,305,415.9473684,62.37617096,19,7045.210526,1018.961627,19,0,0,0,0,0,0,0,0,0,0,486.6428571,88.7238416,84,319.0714286,138.536035,23,0,53,0,5,0,3,0,525.1428571,13.89170946,7,308.8571429,71.4931137,7,0,512.75,18.55229096,4,280.25,19.70247446,4,0,0,510.7835052,58.52045669,97,345.5773196,108.6886061,16,0,73,0,4,0,3,1,542,0,1,313,0,1,0,14086.57895,7547.293878,19,9276,4953.063369,19,10215.9033,6094.399802,424,7313.21934,4467.576463,180,223,1,20,16578.7,6121.863345,20,10741.9,3922.716723,20,0,0,0,0,0,0
0.4,0.6,960.0697674,17.71006198,43,412.3023256,70.9121746,43,0,0,876.1534091,140.0838397,176,407.6306818,180.1261079,50,0,111,0,5,0,9,1,987.5,10.03742995,4,494.75,99.3211332,4,0,574.4477612,11.02139518,134,552.8432836,155.6197938,133,1,0,535.5422078,85.23460337,1848,624.8149351,328.1315782,287,0,1216,0,0,143,0,5,197,576.6176471,14.18058886,68,576.6911765,161.2244743,68,0,0,385,86.54863758,3,7097.333333,949.0772126,3,0,0,359.7559322,96.26810069,1770,6948.955367,3696.209081,295,0,749,0,287,0,26,413,392.4,29.48626799,5,7514.2,1138.216394,5,0,0,530.7058824,12.52181487,17,344.8823529,98.55060352,17,0,0,499.6647399,71.005762,173,354.8439306,156.5536121,39,0,117,0,3,0,2,12,533.8,9.68297475,5,312.8,40.86759107,5,0,538.7777778,12.80432026,18,353.6666667,116.1918911,18,0,0,503.6554054,66.78016707,148,358.8648649,129.4224514,30,0,98,0,6,0,3,11,546,16.97056275,3,309.6666667,0.942809042,3,0,16579.87097,6936.833003,31,10482.3871,4255.036057,31,10735.58058,6665.739043,484,7571.342975,4543.598105,181,289,1,13,14102,0,1,8703,0,1,0,0,1,1,0,0
0,1,929.4285714,28.83379536,7,484.1428571,94.81625625,7,0,0,855.8348624,132.2181277,218,409.9587156,170.2792179,73,0,84,0,54,0,7,0,933,53.55371136,5,482.8,227.7238679,5,0,580.6862745,10.90150232,51,892.5294118,257.2088,27,24,0,534.831862,87.64569743,2492,689.3900482,390.6260301,476,0,1285,0,0,567,0,1,163,579.0422535,12.16950312,71,624.1126761,153.8430286,69,0,2,0,0,0,0,0,0,0,0,362.4367816,91.92581356,1392,6903.552443,3474.344148,243,0,464,0,329,0,22,334,353,55,2,5961,143,2,0,0,527,23.14087293,4,530.5,205.111555,3,1,0,498.26,69.3458415,150,352.0133333,141.9551096,35,0,82,0,25,0,5,3,502,0,1,329,0,1,0,0,0,0,0,0,0,0,0,512.7159091,57.90331849,88,297.8863636,81.19301244,9,0,50,0,28,0,1,0,0,0,0,0,0,0,0,15623.70833,5911.375753,24,10413,3938.285308,24,10526.54104,6313.678822,268,7806.548507,4481.18425,130,135,0,3,16908.55,6419.629985,20,11276.3,4110.799911,20,0,0,1,1,0,0
0.3,0.7,896,6,2,584.5,294.5,2,0,0,790.3263158,152.5711183,95,374.6631579,164.1852362,56,0,29,0,7,0,3,0,0,0,0,0,0,0,0,561.7288136,20.43495718,59,791.0677966,236.32661,53,6,0,487.9287116,98.91433964,1529,780.9280576,494.5793835,438,0,587,0,0,466,0,4,34,0,0,0,0,0,0,0,0,406,59.35486501,4,6873,923.4811855,4,0,0,353.5822499,94.19920524,1769,6977.47654,3499.344883,274,0,651,0,450,0,27,367,0,0,0,0,0,0,0,0,530,0,1,238,0,1,0,0,472.5,97.72231066,60,325.5666667,125.5972885,16,0,32,0,7,0,5,0,0,0,0,0,0,0,0,485,0,1,607,0,1,0,0,470.7142857,63.87498419,42,370.5952381,181.4369967,24,0,14,0,3,0,1,0,0,0,0,0,0,0,0,13937.11429,5306.959311,35,9270.771429,3531.502668,35,10476.30785,6542.164984,484,7507.915289,4490.94156,198,274,0,12,20872,4576.927004,5,13458,2863.866757,5,0,0,0,0,0,0
0.2,0.8,865,0,1,414,0,1,0,0,823.7972973,160.4791794,148,434.9189189,210.3698003,53,0,63,0,28,0,4,0,956.9,19.10209413,10,414,74.04728219,10,0,577.9767442,13.50536219,43,1029.023256,366.9563366,15,28,0,519.4102972,92.24717511,1884,754.0116773,426.980727,364,0,792,0,0,558,0,2,168,572.25,16.80587695,8,667.25,174.9876781,8,0,0,0,0,0,0,0,0,0,0,361.8642298,93.09462661,1532,6100.730418,3258.434077,234,0,579,0,379,0,32,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487.7948718,80.24711177,39,365.8974359,143.9744983,11,0,17,0,10,0,0,1,0,0,0,0,0,0,0,534,0,1,1013,0,0,1,0,497.5849057,60.61740019,53,393.9245283,224.025845,10,0,31,0,11,0,0,1,0,0,0,0,0,0,0,15316.85185,6958.050832,27,10004.77778,4364.70858,27,10056.57772,6408.303447,386,7609.932642,4467.207181,199,179,5,3,19568.5,10254.5,2,13417.5,5850.5,2,0,0,1,1,0,0
0.2,0.8,968.6666667,13.81625452,3,389.6666667,58.90293334,3,0,0,835.6716418,149.0795028,67,458.5373134,151.4041077,7,0,28,0,27,0,3,2,978.8571429,30.63811152,14,425.0714286,81.24958399,14,0,564.1666667,25.74662869,24,613.5416667,274.1029276,21,3,0,507.5562001,81.12348529,1379,658.031182,305.4850726,310,0,491,0,0,498,0,3,77,571.3247863,23.06135594,117,630.1367521,198.3884175,117,0,0,0,0,0,0,0,0,0,0,387.2325581,83.53164109,258,6177.290698,3409.122149,47,0,64,0,60,0,2,85,405.44,51.9992923,25,6238.64,1086.071669,25,0,0,0,0,0,0,0,0,0,0,211.6666667,18.83849487,3,140,8.041558721,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409.3233634,83.79546781,1772,317.7646727,166.3315227,336,0,148,0,1168,0,118,2,535.125,18.81115028,8,294.625,76.65496967,8,0,0,0,0,0,0,0,9464.504425,6130.922182,339,7781.79056,4832.673483,210,118,7,4,15417.5625,5271.466731,16,10072.75,3809.033728,16,0,0,1,1,0,0
0.2,0.8,0,0,0,0,0,0,0,0,887.2619048,95.42729124,126,329.7301587,125.3220874,19,0,78,0,8,0,21,0,912,0,1,552,0,1,0,567.4166667,9.978796966,12,551.6666667,44.08010385,12,0,0,522.9356296,84.45932824,1771,526.3303219,323.5988236,212,0,1080,0,0,458,0,16,5,574.1666667,10.40432602,18,566.6111111,68.65545126,18,0,0,0,0,0,0,0,0,0,0,353.5030414,96.34022925,1644,6676.441606,3352.084479,266,0,671,0,476,2,24,205,414.6875,70.06489737,16,6063.1875,859.501543,16,0,0,0,0,0,0,0,0,0,0,499.4367816,73.00003167,87,232.2183908,69.17484515,8,0,49,0,20,0,10,0,533.75,15.62649993,4,324.75,80.85905948,4,0,535.75,12.63675196,4,280.5,91.17428366,4,0,0,488.3953488,90.88918362,43,250.4651163,89.32885386,2,0,27,0,8,0,6,0,0,0,0,0,0,0,0,12925.5,2589.5,2,8200,1364,2,10112.77236,6273.910875,492,7336.25,4469.662386,196,286,0,10,16041.08571,6472.18159,35,10679.34286,3908.230655,35,0,0,0,0,0,0
0.7,0.3,909.5555556,33.2836667,9,490.6666667,59.36703163,9,0,0,865.1822222,149.8989219,225,399.2488889,154.9671229,78,0,120,0,14,0,9,4,0,0,0,0,0,0,0,549.3846154,22.14128918,13,778.9230769,297.1569028,10,3,0,528.4281278,89.01132959,2254,662.5891748,337.7701867,519,0,1235,0,0,202,0,5,293,540.5,3.5,2,715,45,2,0,0,0,0,0,0,0,0,0,0,372.9771055,93.54632679,1223,6755.84628,3198.069994,192,0,466,0,202,0,22,341,0,0,0,0,0,0,0,0,506,2,2,331,48,2,0,0,503.965035,76.49428998,143,344.3006993,167.7713243,30,0,87,0,4,0,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507.5578947,68.64825919,95,362.3894737,153.9957139,19,0,63,0,5,0,3,5,499,7,2,315,29,2,0,20766.85294,4800.960419,34,13207.35294,3146.058177,34,12103.06765,6117.089475,340,8381.923529,4169.309282,125,203,1,11,0,0,0,0,0,0,0,0,1,1,0,0
0,1,938.4,30.36840463,10,476.8,94.24733418,10,0,0,868.3727811,146.1107936,169,395.4497041,146.6173586,66,0,89,0,9,0,2,3,943.0909091,44.74362229,22,413,67.97726893,22,0,568.509434,10.20104072,53,574.3396226,162.383769,53,0,0,531.9449704,86.10334331,1690,591.4284024,293.5990925,395,0,1001,0,0,139,0,3,152,578.6571429,14.92494146,140,576.2714286,149.6523993,140,0,0,467,8,2,6723.5,53.5,2,0,0,357.9941444,95.83346318,1537,6829.909564,3664.293098,272,0,577,0,269,0,43,376,462,21.96967607,3,6525.666667,1486.111331,3,0,0,523.3333333,18.11322414,15,327,97.60191255,15,0,0,498.1014493,74.48764997,138,360.5434783,173.5023752,38,0,80,0,8,0,6,6,537.6666667,12.82792094,6,331.5,83.86844858,6,0,458,0,1,197,0,0,0,1,506.4,71.49547512,135,327.9259259,149.4503822,27,0,83,0,9,1,11,4,541.6129032,12.18056998,31,337.2580645,99.58266715,31,0,16324.38462,5152.0706,26,10111.23077,2996.683825,26,10262.2021,6390.408947,381,7389.682415,4607.007923,163,202,2,14,18160.88235,6456.912629,17,11700.05882,4187.114625,17,0,0,0,0,0,0
