Ill250.alt_alnScore_mean,Ill250.alt_alnScore_std,Ill250.alt_count,Ill250.alt_insertSize_mean,Ill250.alt_insertSize_std,Ill250.alt_reason_alignmentScore,Ill250.alt_reason_insertSizeScore,Ill250.alt_reason_orientation,Ill250.amb_alnScore_mean,Ill250.amb_alnScore_std,Ill250.amb_count,Ill250.amb_insertSize_mean,Ill250.amb_insertSize_std,Ill250.amb_reason_alignmentScore_alignmentScore,Ill250.amb_reason_alignmentScore_orientation,Ill250.amb_reason_flanking,Ill250.amb_reason_insertSizeScore_alignmentScore,Ill250.amb_reason_insertSizeScore_insertSizeScore,Ill250.amb_reason_multimapping,Ill250.amb_reason_orientation_alignmentScore,Ill250.amb_reason_orientation_orientation,Ill250.amb_reason_same_scores,Ill250.ref_alnScore_mean,Ill250.ref_alnScore_std,Ill250.ref_count,Ill250.ref_insertSize_mean,Ill250.ref_insertSize_std,Ill250.ref_reason_alignmentScore,Ill250.ref_reason_orientation,Ill300x.alt_alnScore_mean,Ill300x.alt_alnScore_std,Ill300x.alt_count,Ill300x.alt_insertSize_mean,Ill300x.alt_insertSize_std,Ill300x.alt_reason_alignmentScore,Ill300x.alt_reason_insertSizeScore,Ill300x.alt_reason_orientation,Ill300x.amb_alnScore_mean,Ill300x.amb_alnScore_std,Ill300x.amb_count,Ill300x.amb_insertSize_mean,Ill300x.amb_insertSize_std,Ill300x.amb_reason_alignmentScore_alignmentScore,Ill300x.amb_reason_alignmentScore_orientation,Ill300x.amb_reason_flanking,Ill300x.amb_reason_insertSizeScore_alignmentScore,Ill300x.amb_reason_insertSizeScore_insertSizeScore,Ill300x.amb_reason_multimapping,Ill300x.amb_reason_orientation_alignmentScore,Ill300x.amb_reason_orientation_orientation,Ill300x.amb_reason_same_scores,Ill300x.ref_alnScore_mean,Ill300x.ref_alnScore_std,Ill300x.ref_count,Ill300x.ref_insertSize_mean,Ill300x.ref_insertSize_std,Ill300x.ref_reason_alignmentScore,Ill300x.ref_reason_insertSizeScore,Ill300x.ref_reason_orientation,IllMP.alt_alnScore_mean,IllMP.alt_alnScore_std,IllMP.alt_count,IllMP.alt_insertSize_mean,IllMP.alt_insertSize_std,IllMP.alt_reason_alignmentScore,IllMP.alt_reason_insertSizeScore,IllMP.alt_reason_orientation,IllMP.amb_alnScore_mean,IllMP.amb_alnScore_std,IllMP.amb_count,IllMP.amb_insertSize_mean,IllMP.amb_insertSize_std,IllMP.amb_reason_alignmentScore_alignmentScore,IllMP.amb_reason_alignmentScore_orientation,IllMP.amb_reason_flanking,IllMP.amb_reason_insertSizeScore_insertSizeScore,IllMP.amb_reason_multimapping,IllMP.amb_reason_orientation_alignmentScore,IllMP.amb_reason_orientation_orientation,IllMP.amb_reason_same_scores,IllMP.ref_alnScore_mean,IllMP.ref_alnScore_std,IllMP.ref_count,IllMP.ref_insertSize_mean,IllMP.ref_insertSize_std,IllMP.ref_reason_alignmentScore,IllMP.ref_reason_insertSizeScore,IllMP.ref_reason_orientation,Svsize,TenX.HP1_alt_alnScore_mean,TenX.HP1_alt_alnScore_std,TenX.HP1_alt_count,TenX.HP1_alt_insertSize_mean,TenX.HP1_alt_insertSize_std,TenX.HP1_alt_reason_alignmentScore,TenX.HP1_alt_reason_insertSizeScore,TenX.HP1_alt_reason_orientation,TenX.HP1_amb_alnScore_mean,TenX.HP1_amb_alnScore_std,TenX.HP1_amb_count,TenX.HP1_amb_insertSize_mean,TenX.HP1_amb_insertSize_std,TenX.HP1_amb_reason_alignmentScore_alignmentScore,TenX.HP1_amb_reason_alignmentScore_orientation,TenX.HP1_amb_reason_flanking,TenX.HP1_amb_reason_insertSizeScore_alignmentScore,TenX.HP1_amb_reason_multimapping,TenX.HP1_amb_reason_orientation_alignmentScore,TenX.HP1_amb_reason_orientation_orientation,TenX.HP1_amb_reason_same_scores,TenX.HP1_ref_alnScore_mean,TenX.HP1_ref_alnScore_std,TenX.HP1_ref_count,TenX.HP1_ref_insertSize_mean,TenX.HP1_ref_insertSize_std,TenX.HP1_ref_reason_alignmentScore,TenX.HP1_ref_reason_orientation,TenX.HP2_alt_alnScore_mean,TenX.HP2_alt_alnScore_std,TenX.HP2_alt_count,TenX.HP2_alt_insertSize_mean,TenX.HP2_alt_insertSize_std,TenX.HP2_alt_reason_alignmentScore,TenX.HP2_alt_reason_insertSizeScore,TenX.HP2_alt_reason_orientation,TenX.HP2_amb_alnScore_mean,TenX.HP2_amb_alnScore_std,TenX.HP2_amb_count,TenX.HP2_amb_insertSize_mean,TenX.HP2_amb_insertSize_std,TenX.HP2_amb_reason_alignmentScore_alignmentScore,TenX.HP2_amb_reason_alignmentScore_orientation,TenX.HP2_amb_reason_flanking,TenX.HP2_amb_reason_insertSizeScore_alignmentScore,TenX.HP2_amb_reason_multimapping,TenX.HP2_amb_reason_orientation_alignmentScore,TenX.HP2_amb_reason_orientation_orientation,TenX.HP2_amb_reason_same_scores,TenX.HP2_ref_alnScore_mean,TenX.HP2_ref_alnScore_std,TenX.HP2_ref_count,TenX.HP2_ref_insertSize_mean,TenX.HP2_ref_insertSize_std,TenX.HP2_ref_reason_alignmentScore,TenX.HP2_ref_reason_orientation,pacbio.alt_alnScore_mean,pacbio.alt_alnScore_std,pacbio.alt_count,pacbio.alt_insertSize_mean,pacbio.alt_insertSize_std,pacbio.alt_reason_alignmentScore,pacbio.amb_alnScore_mean,pacbio.amb_alnScore_std,pacbio.amb_count,pacbio.amb_insertSize_mean,pacbio.amb_insertSize_std,pacbio.amb_reason_alignmentScore_alignmentScore,pacbio.amb_reason_flanking,pacbio.amb_reason_multimapping,pacbio.amb_reason_same_scores,pacbio.ref_alnScore_mean,pacbio.ref_alnScore_std,pacbio.ref_count,pacbio.ref_insertSize_mean,pacbio.ref_insertSize_std,pacbio.ref_reason_alignmentScore,size,model_label,CrowdVar_0,CrowdVar_1,CrowdVar_2,Label
983.52,19.17731994,25,443.2,86.62055183,14,11,0,878.0645161,148.2974203,217,615.359447,868.0388935,65,0,117,0,0,23,3,9,0,983.454918,23.64357121,244,420.1516393,83.54338692,244,0,588.8951613,6.261529428,248,606.2298387,141.343352,28,220,0,529.0854947,92.81327971,2082,797.9130644,805.5530291,430,0,1334,0,0,312,3,3,0,588.4153226,8.537210245,1488,560.2896505,157.1523646,1488,0,0,398.8842105,71.31566052,190,7182.647368,880.4027887,1,189,0,355.7698939,94.62035391,1508,7301.629973,4352.439215,298,0,638,0,439,4,34,95,402.3076923,79.65896243,169,6391.201183,1061.126802,106,60,3,2904,544.0454545,13.79221544,22,366.3636364,123.9624377,9,13,0,499.3111111,83.41156032,135,457.5111111,624.3802126,25,0,92,0,7,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487.2732919,79.64642265,161,331.2236025,268.7334678,64,0,69,0,7,15,6,0,544.3571429,16.98690639,252,342.6111111,100.5067693,252,0,15754.47059,7892.618004,17,9796.882353,4597.12616,17,11089.08684,6990.635266,380,7903.681579,5120.743527,148,225,1,6,12964.64706,6253.078103,17,8144.882353,3623.634475,17,2904,1,0,1,0,1
993.2333333,6.417077909,30,458.1666667,87.8859425,23,7,0,888.5589744,146.3824298,195,476.6153846,547.091621,50,0,118,0,0,11,10,6,0,989.0751174,16.76666687,213,424.7981221,85.94780377,213,0,588.6734694,6.959153749,343,611.8717201,143.1880082,100,243,0,536.4079422,89.26500728,1939,933.5605982,1041.461423,329,0,1372,0,0,231,1,6,0,589.8147583,5.559512491,1965,580.280916,151.3036899,1965,0,0,393.4010695,71.51959904,187,7086.42246,915.3629409,5,182,0,340.7366597,97.35089859,1443,7814.594595,4642.115106,268,0,557,0,468,4,25,121,412.5621622,76.81671887,185,6638.697297,1013.366498,134,51,0,2903,546.4166667,11.04881844,36,370.1388889,139.7766378,23,13,0,503.5666667,74.24255294,90,529.0444444,707.0661121,19,0,66,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485.1333333,81.68917686,165,412.8484848,520.3878112,69,0,82,0,9,4,1,0,542.9771863,18.29083411,263,329.0152091,108.0881899,263,0,18873.05,6261.919438,20,11833.65,3722.546122,20,10342.02355,6824.047667,467,7331.310493,4664.443285,170,284,4,9,16040.48,8635.362714,25,10274.28,5423.076695,25,2903,1,0,1,0,1
987.1875,10.37857619,32,436.09375,85.36332621,27,5,0,883.9744898,152.3196637,196,523.4744898,617.8311922,52,0,120,0,0,12,3,9,0,987.470852,17.05905866,223,425.0044843,90.43708007,223,0,587.5502793,6.164548802,358,612.0195531,154.9212709,120,238,0,533.9313876,92.59376396,1953,866.8463902,1010.335963,326,0,1394,0,0,222,4,7,0,587.9030023,7.002049535,1732,581.2684758,153.9234239,1732,0,0,404.1686047,81.83392536,172,7182.343023,983.7755722,4,168,0,355.8651685,94.4850571,1335,7323.113109,4240.602233,232,0,654,0,329,3,32,85,422.9689119,73.20720163,193,6700.917098,1054.051539,158,35,0,2886,0,0,0,0,0,0,0,0,480.0942408,81.79185381,191,323.1361257,191.8953475,72,0,88,0,13,10,8,0,543.9899666,17.56925807,299,332.9464883,103.4718249,299,0,543.4482759,12.53020133,29,347.3448276,98.83084674,12,17,0,508.1142857,77.47811541,140,325.7928571,260.8881122,25,0,99,0,6,0,10,0,0,0,0,0,0,0,0,16805.40625,6717.243854,32,10360.65625,4364.206891,32,10894.32421,6957.337966,475,7918.753684,5094.387581,200,263,2,10,14832.80645,7266.193921,31,9093.870968,4295.631297,31,2886,1,0,1,0,1
977.4210526,26.59207597,38,454.1578947,103.6018508,30,8,0,907.7365269,131.6461508,167,480.2934132,465.1438038,37,0,108,0,0,6,8,7,1,990.35,14.59764147,220,423.6727273,90.22518385,220,0,587.7105263,6.887034382,266,628.5864662,152.4350042,106,160,0,527.9750374,95.49252924,2003,703.9575637,670.1582541,320,0,1352,0,0,323,4,4,0,590.0948949,5.487140665,1665,581.6516517,152.8493065,1665,0,0,403.2971014,69.95157843,138,7488.086957,768.3120165,7,131,0,350.2053824,97.99656885,1412,8132.86119,4803.150244,330,0,589,0,317,3,23,150,407.8062827,76.51368945,191,6558.230366,1133.019715,150,41,0,2442,0,0,0,0,0,0,0,0,490.6102564,81.72362366,195,336.2666667,247.4287479,71,0,108,0,7,6,3,0,545.5,17.21152715,300,336.84,103.4768303,300,0,543,13.00256385,15,364.4666667,103.3001237,11,4,0,523.8125,58.82553876,96,393.1041667,431.8752829,13,0,78,0,2,0,3,0,0,0,0,0,0,0,0,19079.68182,6537.470886,22,11969.04545,4127.457147,22,11048.98026,6847.435837,456,7868.557018,4784.589691,185,258,1,12,17694.06818,7018.445595,44,11083.95455,4247.331071,44,2442,1,0,1,0,1
970.8181818,21.76242877,11,429.6363636,93.11017201,8,3,0,887.0648649,102.9918711,185,953.2756757,1201.80742,37,0,94,0,0,42,7,5,0,972.7533333,30.11443434,150,403.9533333,88.12319685,150,0,580.3245283,12.04865773,265,671.5207547,181.7796109,59,206,0,550.6727922,56.60299967,1959,892.6676876,869.8536324,214,0,1166,0,0,574,2,3,0,586.5924296,10.29641222,1136,600.9286972,171.5775479,1136,0,0,391.0088496,74.07022446,113,7407.522124,751.1976761,6,107,0,379.9839498,80.65780081,1433,7064.899512,4101.671216,102,0,609,0,539,2,44,137,406.060241,81.84150851,83,6185.506024,704.2230851,30,50,3,2413,536.8666667,15.89493281,15,377.9333333,187.0958637,9,6,0,491.6941176,62.00360967,85,629.5647059,868.8595154,29,0,47,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465.9117647,83.58435952,136,407.2720588,417.6196811,60,0,43,0,29,2,2,0,543.8543689,16.60354844,103,353.1359223,129.8833718,103,0,16017.8,4493.613675,20,10132.95,2583.621073,20,9786.866071,6222.603602,224,7112.46875,4330.194606,99,118,0,7,16460.93333,8182.428095,15,10815.86667,5481.974144,15,2413,1,0,1,0,1
988.4666667,7.940333046,15,433.9333333,61.99942652,14,1,0,856.9733333,132.9584035,225,495.3333333,442.4432167,74,0,107,0,0,34,6,4,0,982.2138728,22.25120464,173,416.2890173,81.19467611,173,0,584.4420601,11.40466507,233,603.8798283,152.2588523,79,154,0,530.8708834,87.07775157,1913,801.9205436,816.3426105,318,0,1147,0,0,443,2,3,0,585.3073463,10.83147407,1334,574.5157421,160.9518379,1333,0,1,402.0828025,72.25044569,157,7530.541401,684.6568111,4,153,0,355.294232,92.86862203,1543,6796.147764,4031.651219,333,1,508,0,417,4,44,236,409.1481481,76.88871405,135,6322.6,922.5673614,82,52,1,2304,524,0,1,342,0,1,0,0,480.474359,88.37111785,156,396.4871795,407.3134383,57,0,66,0,19,10,4,0,542.6174863,17.56288063,183,321.5956284,89.65306771,183,0,536.2142857,25.65896828,28,408.4642857,106.9998272,15,13,0,497.8540146,90.13165878,137,458.5328467,534.6910296,22,0,98,0,9,0,8,0,0,0,0,0,0,0,0,13635,4537.323991,12,8433,2507.327761,12,10690.73099,6529.128814,342,7636.315789,4435.091312,164,159,0,19,15791.38095,7045.378387,21,10171.19048,4448.923793,21,2304,1,0,1,0,1
0,0,0,0,0,0,0,0,869.253886,133.5429247,193,606.1865285,694.4509192,69,0,95,0,0,19,6,4,0,975.1377246,25.80370771,167,415.742515,79.91237447,167,0,566.6956522,20.07904983,69,515.6231884,165.5369044,0,69,0,530.3921961,65.54680351,1999,1023.203602,1037.6126,484,0,990,53,0,464,5,3,0,581.519544,14.62569164,1228,569.9983713,152.6978078,1228,0,0,391.6947368,80.9480761,95,7521.821053,564.917376,0,95,0,361.972863,87.31760565,1474,7041.914518,3837.780152,261,0,537,0,422,1,39,214,396.1791045,78.80344439,134,6503.507463,1052.995257,97,35,2,2120,512,0,1,366,0,0,1,0,468.6283186,100.2696537,113,631.3982301,763.4411562,35,0,52,3,15,6,2,0,522.4166667,30.56266331,12,297.8333333,85.049822,12,0,0,0,0,0,0,0,0,0,459.712766,93.52342093,94,369.8723404,269.8065593,40,0,33,0,9,8,4,0,541.4032258,18.89099434,124,342.0887097,107.8877861,123,1,18106.6,4716.451806,10,11130.1,2976.464327,10,10627.64789,6671.079218,355,7676.997183,4623.536829,161,187,0,7,17583.96774,6519.064056,31,11092.22581,3981.22628,31,2120,1,0,1,0,1
0,0,0,0,0,0,0,0,869.629108,138.282858,213,764.9812207,850.8384374,77,0,112,0,0,10,9,5,0,983.6692308,35.95967581,130,421.4153846,86.6615685,130,0,573.3076923,14.9227525,143,578.993007,137.284529,0,143,0,523.2449878,91.44195123,2045,896.2948655,853.153947,500,0,1293,0,0,245,2,5,0,588.7855611,8.344343525,1399,583.3838456,152.2261797,1399,0,0,388.1652893,81.46705942,121,7748.446281,660.4016678,0,121,0,356.2875536,91.48768221,1398,7258.419886,4152.602104,231,0,543,0,396,3,32,193,410.6397849,78.34644819,186,6489.215054,1044.110975,143,43,0,2118,0,0,0,0,0,0,0,0,474.0185185,104.1286581,108,389.8425926,375.3902701,32,0,59,0,6,8,3,0,540.4315068,20.9310373,146,335.2534247,107.9126239,146,0,526.1666667,15.23610478,6,397.6666667,61.23905798,0,6,0,490.5045045,86.36199467,111,563.963964,700.6876922,25,0,71,0,6,0,9,0,0,0,0,0,0,0,0,16320.16667,5704.035601,12,10282.08333,3488.169469,12,10485.20624,6107.135225,417,7853.182254,4951.642246,176,227,2,12,13250.42857,8625.177699,21,8174.666667,5330.393243,21,2118,1,0,1,0,1
986.2857143,12.92153189,21,444.9047619,86.10840607,17,4,0,871.2582418,158.4185384,182,430.2087912,296.4295597,53,0,108,0,0,7,6,5,3,990.2596685,13.30533802,181,421.2762431,98.07659054,181,0,586.4281437,6.070882565,334,606.6497006,137.1193808,133,201,0,530.1720484,94.6001419,1982,705.4369324,610.6185387,328,0,1368,0,0,283,2,1,0,588.48307,6.38670253,1329,571.2061701,153.7719269,1329,0,0,405.9569892,76.18863319,93,7747.430108,637.3296677,2,91,0,352.5807917,97.33214537,1541,7450.112265,4169.45979,269,0,629,0,390,4,37,212,401.4171429,72.94657727,175,6604.074286,1076.906411,149,26,0,2070,538.8571429,22.41924283,28,430.6428571,207.1311204,21,7,0,519.1526718,59.2093547,131,394.6717557,377.5083527,23,0,103,0,5,0,0,0,526,0,1,343,0,1,0,0,0,0,0,0,0,0,0,496.74375,79.20481732,160,330.2875,177.7156925,46,0,91,0,12,9,2,0,544.8121547,17.87458044,181,337.1104972,117.0799838,181,0,15397.84615,6123.340979,13,9743.076923,3881.446409,13,10642.8022,6562.485168,455,7615.885714,4588.481461,173,269,2,11,15908.78125,7396.185354,32,10135.03125,4929.547732,32,2070,1,0,1,0,1
911,0,1,384,0,1,0,0,890.6406926,151.2586612,231,506.6666667,526.5895225,60,0,147,0,0,11,5,8,0,993.2446809,9.449401839,188,422.2180851,86.90016461,188,0,575.3076923,20.59020659,39,507.9230769,173.1633858,7,32,0,523.6475031,92.69188262,2383,951.1493915,896.755996,518,0,1497,0,0,341,1,26,0,589.7109705,7.173959044,1422,576.0457103,155.5114425,1422,0,0,405.0888889,77.73568385,90,7605.144444,832.4575206,1,89,0,357.4225092,93.7896443,1626,7369.9877,4028.808724,315,0,711,0,355,2,44,199,411.5174419,75.41300809,172,6676.639535,1066.867256,141,31,0,2063,525,0,1,344,0,0,1,0,463.0238095,127.7558102,126,372.2222222,408.1927239,31,0,76,0,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492.7810651,85.63023921,169,339.4260355,270.2531065,58,0,94,0,9,5,3,0,546.2088889,16.3944682,225,354.5911111,126.1656122,225,0,16558.33333,6314.501147,27,10666.66667,3840.128268,27,10877.94105,6729.483087,475,7830.64,4945.618448,197,259,2,17,16599.65385,7837.319999,26,10540.96154,4907.942985,26,2063,1,0,1,0,1
