x,y,size_bin,300x_bin,TR_cnt_bin,clusterLabel,PC-1,Size
-1.9597877801977595,13.546672319663797,100-299,,2-3,0,0,115
7.910600320895117,6.892219165684295,1000-5999,250-500,5-10,1,425,2534
-10.607408057488126,-2.7240812026701886,20-49,0-50,0-1,4,8,40
-4.486573767176265,-3.828910899273725,100-299,50-100,,-1,65,160
-0.8522670020513924,-6.645559008616353,20-49,50-100,,-1,88,37
-2.6953353526686032,-7.626837612246687,,0-50,,-1,36,20
11.821421979602391,0.8528051931868397,100-299,50-100,0-1,-1,71,192
-4.452983731511659,-0.32678790026962334,100-299,0-50,0-1,-1,34,229
3.824215556797728,-13.287818807703355,20-49,100-250,0-1,2,111,28
-6.235748271350273,-5.887307927773837,20-49,0-50,,3,27,28
-2.688126376733354,2.7527933975925802,20-49,0-50,0-1,-1,35,21
2.724084167806243,-11.379046464406535,20-49,50-100,,-1,98,24
-6.613418459497929,-9.556001302119737,20-49,0-50,,6,36,34
-12.91360281778454,-6.6051299951504205,50-99,100-250,,4,113,61
2.5842127938791197,-3.0376012725719166,100-299,50-100,0-1,23,88,139
-3.073592445007688,16.00152229161224,,,0-1,0,0,20
4.644238812594249,-13.17130234196536,50-99,100-250,0-1,2,109,94
3.7689132546630155,-12.812945383332105,20-49,50-100,0-1,2,77,35
6.140234745157439,-10.297223335184055,20-49,50-100,0-1,2,61,32
6.256372279644924,-12.894725148544003,,100-250,0-1,2,126,20
-13.765205070349532,-4.545220585375767,20-49,100-250,0-1,4,118,29
0.06486674547540229,10.176149287223005,50-99,0-50,1-2,10,2,90
-7.337158185012729,-13.35744074399061,300-399,100-250,1-2,5,247,328
-10.236162698008485,-10.30826456227179,20-49,100-250,,-1,140,21
-7.80135404391799,-10.774287396058876,20-49,50-100,0-1,6,85,27
7.890375036950644,-8.089097891513523,100-299,0-50,0-1,-1,44,254
-11.768202546541048,-5.29522245843206,20-49,100-250,0-1,4,138,38
5.603725695455358,3.784864939175591,300-399,250-500,0-1,7,462,310
13.883349789320135,2.652002137013136,100-299,100-250,,12,150,251
-13.370039281010046,4.118356391511183,50-99,100-250,,8,218,58
-0.9894351496849563,9.842815319493583,50-99,0-50,0-1,9,3,94
2.511773533441453,10.424799116093872,20-49,0-50,,10,1,38
